iter	Passed	Remaining
0	0	919
1	1	854
2	2	826
3	3	793
4	3	768
5	4	757
6	5	749
7	5	734
8	6	720
9	7	703
10	7	691
11	8	684
12	8	680
13	9	677
14	10	674
15	10	671
16	11	673
17	12	670
18	12	668
19	13	666
20	14	663
21	14	662
22	15	665
23	16	667
24	17	676
25	18	677
26	18	675
27	19	673
28	20	671
29	20	669
30	21	667
31	22	666
32	22	666
33	23	664
34	24	662
35	24	660
36	25	660
37	26	658
38	26	656
39	27	654
40	27	652
41	28	650
42	29	648
43	29	647
44	30	646
45	31	647
46	31	646
47	32	644
48	33	643
49	33	642
50	34	642
51	35	640
52	35	640
53	36	640
54	37	638
55	37	638
56	38	637
57	39	636
58	39	636
59	40	636
60	41	634
61	41	634
62	42	632
63	43	635
64	44	634
65	44	632
66	45	632
67	46	631
68	46	631
69	47	631
70	48	630
71	48	629
72	49	629
73	50	628
74	50	627
75	51	627
76	52	627
77	53	627
78	53	627
79	54	626
80	55	625
81	55	623
82	56	620
83	56	619
84	57	618
85	58	618
86	58	616
87	59	615
88	60	614
89	60	613
90	61	612
91	61	611
92	62	611
93	63	610
94	64	610
95	64	610
96	65	610
97	66	610
98	66	609
99	67	608
100	68	607
101	68	606
102	69	608
103	70	607
104	71	606
105	71	606
106	72	605
107	73	604
108	73	603
109	74	602
110	75	601
111	76	605
112	76	604
113	77	602
114	78	601
115	78	600
116	79	598
117	79	597
118	80	596
119	81	595
120	81	595
121	82	593
122	83	593
123	83	592
124	84	591
125	85	590
126	85	588
127	86	586
128	86	585
129	87	584
130	87	582
131	88	581
132	89	581
133	89	579
134	90	578
135	90	577
136	91	577
137	92	576
138	93	576
139	93	576
140	94	576
141	94	573
142	95	574
143	96	573
144	96	571
145	97	570
146	98	569
147	98	567
148	99	566
149	99	564
150	100	563
151	100	562
152	101	560
153	102	560
154	102	559
155	103	558
156	103	556
157	104	555
158	104	554
159	105	553
160	105	551
161	106	552
162	107	551
163	108	550
164	109	551
165	109	550
166	110	550
167	110	549
168	111	548
169	112	547
170	113	549
171	114	549
172	115	551
173	116	553
174	117	553
175	117	552
176	118	551
177	119	549
178	119	548
179	120	546
180	120	545
181	121	544
182	121	544
183	122	543
184	123	542
185	123	541
186	124	540
187	124	539
188	125	538
189	126	537
190	126	536
191	127	536
192	128	536
193	129	537
194	130	538
195	132	542
196	133	542
197	133	541
198	134	540
199	135	540
200	135	539
201	136	538
202	137	538
203	137	537
204	138	537
205	139	535
206	139	535
207	140	534
208	141	534
209	141	533
210	142	531
211	142	531
212	144	532
213	144	531
214	145	530
215	146	532
216	147	532
217	148	531
218	148	530
219	149	529
220	149	528
221	150	527
222	151	527
223	151	526
224	152	525
225	153	524
226	153	523
227	154	523
228	155	522
229	155	521
230	156	520
231	156	519
232	157	519
233	158	519
234	159	518
235	160	519
236	161	519
237	161	518
238	162	517
239	162	516
240	163	514
241	164	513
242	164	512
243	165	511
244	165	510
245	166	510
246	167	509
247	167	509
248	168	508
249	169	508
250	169	507
251	170	506
252	171	505
253	171	504
254	172	504
255	173	503
256	174	503
257	174	502
258	176	504
259	177	504
260	177	503
261	178	502
262	178	500
263	179	499
264	179	498
265	180	497
266	181	497
267	181	496
268	182	496
269	183	495
270	183	494
271	184	493
272	185	492
273	185	492
274	186	491
275	187	491
276	188	490
277	188	490
278	189	489
279	190	488
280	191	489
281	192	489
282	193	489
283	193	488
284	194	487
285	194	486
286	195	485
287	196	485
288	196	484
289	197	483
290	198	483
291	198	482
292	199	481
293	200	480
294	200	480
295	201	479
296	202	478
297	202	477
298	203	477
299	204	477
300	205	477
301	206	476
302	206	475
303	207	474
304	207	473
305	208	472
306	208	471
307	209	470
308	210	469
309	210	468
310	211	468
311	211	467
312	212	466
313	213	465
314	214	465
315	214	465
316	215	464
317	216	463
318	216	462
319	217	461
320	217	460
321	218	460
322	219	459
323	220	459
324	221	460
325	222	459
326	222	458
327	223	457
328	224	456
329	224	455
330	225	455
331	225	454
332	226	453
333	227	453
334	227	452
335	228	451
336	229	450
337	229	450
338	230	449
339	231	448
340	231	447
341	232	447
342	233	447
343	235	448
344	235	447
345	236	446
346	236	445
347	237	444
348	238	443
349	238	443
350	239	442
351	239	441
352	240	440
353	241	439
354	241	439
355	242	438
356	243	437
357	243	437
358	244	436
359	245	436
360	246	435
361	246	435
362	247	434
363	248	434
364	249	434
365	250	434
366	252	435
367	252	434
368	253	433
369	254	432
370	254	431
371	255	430
372	255	430
373	256	429
374	257	428
375	257	428
376	258	427
377	259	426
378	259	425
379	260	425
380	261	424
381	261	423
382	262	423
383	263	422
384	263	421
385	264	420
386	264	419
387	265	418
388	265	417
389	266	416
390	267	415
391	267	415
392	268	414
393	268	413
394	269	412
395	269	411
396	270	410
397	271	411
398	272	410
399	273	410
400	274	409
401	274	408
402	275	407
403	275	406
404	276	405
405	277	405
406	277	404
407	278	403
408	278	402
409	279	402
410	280	401
411	280	400
412	281	399
413	281	398
414	282	397
415	282	396
